"Table 2: Life expectancy and healthy life expectancy in Scottish council areas, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S12000005,Clackmannanshire,male,less than 1,76.67,75.62,77.73,62.57,60.13,65.01,81.61,,
S12000005,Clackmannanshire,male,1 to 4,76.31,75.36,77.26,62.09,59.63,64.55,81.36,,
S12000005,Clackmannanshire,male,5 to 9,72.31,71.36,73.26,58.09,55.63,60.55,80.33,,
S12000005,Clackmannanshire,male,10 to 14,67.31,66.36,68.26,53.11,50.66,55.56,78.90,,
S12000005,Clackmannanshire,male,15 to 19,62.31,61.36,63.26,48.29,45.87,50.71,77.50,,
S12000005,Clackmannanshire,male,20 to 24,57.51,56.58,58.43,43.71,41.33,46.09,76.01,,
S12000005,Clackmannanshire,male,25 to 29,52.80,51.90,53.69,39.30,36.98,41.61,74.43,,
S12000005,Clackmannanshire,male,30 to 34,48.23,47.39,49.08,34.92,32.63,37.20,72.39,,
S12000005,Clackmannanshire,male,35 to 39,43.73,42.94,44.51,30.94,28.71,33.17,70.76,,
S12000005,Clackmannanshire,male,40 to 44,39.06,38.31,39.82,26.90,24.74,29.06,68.86,,
S12000005,Clackmannanshire,male,45 to 49,34.52,33.80,35.24,23.28,21.24,25.31,67.44,,
S12000005,Clackmannanshire,male,50 to 54,30.02,29.32,30.71,19.81,17.87,21.76,66.01,,
S12000005,Clackmannanshire,male,55 to 59,25.63,24.96,26.30,16.58,14.68,18.47,64.67,,
S12000005,Clackmannanshire,male,60 to 64,21.26,20.61,21.91,13.33,11.57,15.10,62.73,,
S12000005,Clackmannanshire,male,65 to 69,17.61,17.00,18.22,10.65,8.89,12.40,60.46,,
S12000005,Clackmannanshire,male,70 to 74,13.64,13.04,14.23,7.96,6.20,9.71,58.33,,
S12000005,Clackmannanshire,male,75 to 79,10.55,9.96,11.13,5.74,3.88,7.61,54.45,,
S12000005,Clackmannanshire,male,80 to 84,7.85,7.26,8.44,3.83,1.94,5.71,48.73,,
S12000005,Clackmannanshire,male,85 to 89,5.67,5.01,6.33,2.39,0.81,3.97,42.24,,
S12000005,Clackmannanshire,male,90+,4.26,3.26,5.27,1.47,-0.08,3.02,34.53,,
S12000005,Clackmannanshire,female,less than 1,80.20,79.35,81.05,60.18,57.28,63.08,75.04,,
S12000005,Clackmannanshire,female,1 to 4,79.30,78.47,80.13,59.38,56.48,62.29,74.88,,
S12000005,Clackmannanshire,female,5 to 9,75.30,74.47,76.13,55.88,53.03,58.73,74.21,,
S12000005,Clackmannanshire,female,10 to 14,70.30,69.47,71.13,51.54,48.78,54.30,73.31,,
S12000005,Clackmannanshire,female,15 to 19,65.30,64.47,66.13,47.20,44.53,49.86,72.28,,
S12000005,Clackmannanshire,female,20 to 24,60.38,59.56,61.19,42.98,40.42,45.54,71.19,,
S12000005,Clackmannanshire,female,25 to 29,55.51,54.71,56.31,38.92,36.45,41.38,70.10,,
S12000005,Clackmannanshire,female,30 to 34,50.83,50.07,51.58,35.00,32.61,37.39,68.86,,
S12000005,Clackmannanshire,female,35 to 39,45.94,45.20,46.68,31.02,28.73,33.32,67.54,,
S12000005,Clackmannanshire,female,40 to 44,41.22,40.51,41.93,27.24,25.03,29.45,66.09,,
S12000005,Clackmannanshire,female,45 to 49,36.37,35.68,37.07,23.48,21.37,25.60,64.56,,
S12000005,Clackmannanshire,female,50 to 54,31.62,30.93,32.30,19.88,17.86,21.91,62.89,,
S12000005,Clackmannanshire,female,55 to 59,27.31,26.66,27.96,16.71,14.75,18.68,61.20,,
S12000005,Clackmannanshire,female,60 to 64,23.07,22.46,23.69,13.68,11.77,15.60,59.30,,
S12000005,Clackmannanshire,female,65 to 69,18.96,18.37,19.54,10.84,8.97,12.71,57.18,,
S12000005,Clackmannanshire,female,70 to 74,15.16,14.60,15.72,8.31,6.42,10.20,54.83,,
S12000005,Clackmannanshire,female,75 to 79,11.60,11.07,12.14,6.07,4.12,8.02,52.28,,
S12000005,Clackmannanshire,female,80 to 84,8.54,8.02,9.06,4.23,2.34,6.13,49.59,,
S12000005,Clackmannanshire,female,85 to 89,6.36,5.83,6.89,3.00,1.34,4.67,47.22,,
S12000005,Clackmannanshire,female,90+,4.32,3.65,5.00,1.97,0.41,3.53,45.53,,
S12000006,Dumfries and Galloway,male,less than 1,77.85,77.26,78.44,64.44,62.91,65.97,82.77,,
S12000006,Dumfries and Galloway,male,1 to 4,77.17,76.62,77.72,63.71,62.17,65.24,82.55,,
S12000006,Dumfries and Galloway,male,5 to 9,73.24,72.70,73.78,59.77,58.23,61.31,81.61,,
S12000006,Dumfries and Galloway,male,10 to 14,68.30,67.76,68.84,54.87,53.34,56.40,80.33,,
S12000006,Dumfries and Galloway,male,15 to 19,63.36,62.83,63.89,50.03,48.51,51.55,78.97,,
S12000006,Dumfries and Galloway,male,20 to 24,58.51,57.99,59.03,45.34,43.85,46.84,77.50,,
S12000006,Dumfries and Galloway,male,25 to 29,53.75,53.24,54.25,40.81,39.35,42.27,75.94,,
S12000006,Dumfries and Galloway,male,30 to 34,48.98,48.50,49.46,36.36,34.95,37.78,74.25,,
S12000006,Dumfries and Galloway,male,35 to 39,44.31,43.86,44.76,32.09,30.73,33.45,72.42,,
S12000006,Dumfries and Galloway,male,40 to 44,39.84,39.43,40.25,28.10,26.81,29.38,70.52,,
S12000006,Dumfries and Galloway,male,45 to 49,35.20,34.81,35.58,24.12,22.89,25.35,68.54,,
